Product ID,Product Name,Cabling Type,MaxTDP,Port Configuration,Data Rate Per Port,System Interface Type
230174,Intel® Ethernet Network Adapter E610-IT4,"RJ45 Category 6, Category 6A, Category 5e up to 100m",,Quad,2.5GbE/1GbE/100Mb,RJ 45
230171,Intel® Ethernet Network Adapter E610-IT4 for OCP 3.0,"RJ45 Category 6, Category 6A, Category 5e up to 100m",,Quad,2.5GbE/1GbE/100Mb,RJ 45
