Product ID,Product Name,CablingDescription,TDP,Port Configuration,Data Rate Per Port,InterfaceType
88342,Intel® Ethernet Connection X557-AT2,,6.8 W,Dual,10GbE,
88341,Intel® Ethernet Connection X557-AT4,,13.6 W,Quad,10GbE,
