Product ID,Product Name,Launch Date,Marketing Status,FormFactor,ServerSystemType,SupportedCPUSocket
124436,PCIe Fabric Carrier Kit AWF1PFABKITP  (OmniPath),Q4'17,Discontinued,,,
93472,1U Fabric Upgrade Kit  (with Cable) AHWBPFABKIT,Q3'17,Discontinued,,,
124432,Dual Port Fabric Upgrade Kit  (with Cable) AHWBPFABKITCPU1,Q3'17,Discontinued,,,
124474,Intel® Ethernet Network Connection OCP I357-T4,Q3'17,Discontinued,,,
124473,Intel® Ethernet Network Connection OCP X527-DA2,Q3'17,Discontinued,,,
124482,Intel® Ethernet Network Connection OCP X527-DA4,Q3'17,Discontinued,,,
124479,Intel® Ethernet Network Connection OCP X557-T2,Q3'17,Discontinued,,,
124437,Mezz Fabric Carrier Kit AWF1PFABKITM  (OmniPath),Q3'17,Discontinued,,,
91495,Intel® Omni-Path Port Upgrade Kit  (2 Port) AXX2PFABKIT,Q4'16,Discontinued,,,
88508,Intel® I/O Module AXX10GBTWLIOM3,Q2'15,Discontinued,,,
86952,Dual RJ-45 port 10GBASE-T IO Module AXX10GBTWLHW2,Q2'15,Discontinued,,,
86951,Dual RJ-45 port 10GBASE-T IO Module AXX10GBTWLHW3,Q2'15,Discontinued,,,
81686,Ethernet I/O Module XL710-QDA1 AXX1P40FRTIOM,Q4'14,Discontinued,,,
81687,Ethernet I/O Module XL710-QDA2 AXX2P40FRTIOM,Q4'14,Discontinued,,,
69028,Dual RJ-45 port 10GBASE-T IO Module AXX10GBTWLHW,Q3'12,Discontinued,,,
69026,Kit of Serial Port DB9 Adapters AXXRJ45DB93,Q3'12,Discontinued,,,
60263,Dual Port Intel® 82599EB 10GbE I/O Module AXX10GBNIAIOM,Q1'12,Discontinued,,,
60265,Dual Port Intel® X540-BT2 10GbE I/O Module AXX10GBTWLIOM,Q1'12,Discontinued,,,
67316,FDR InfiniBand* ConnectX-3* I/O Module AXX1FDRIBIOM  (Single Port),Q2'12,Discontinued,,,
67317,FDR InfiniBand* ConnectX-3* I/O Module AXX2FDRIBIOM  (Dual Port),Q2'12,Discontinued,,,
66279,IO Shield AW2600CR2IOS,Q1'12,Discontinued,,,
65412,IO shield AXX2IOS,Q1'12,Discontinued,,,
65413,IO shield AXX4IOS,Q1'12,Discontinued,,,
60262,Quad Port Intel® I350-AE4 GbE I/O Module AXX4P1GBPWLIOM,Q1'12,Discontinued,,,
53759,I/O expansion module AXXIBQDRSR169X,Q3'10,Discontinued,,,
51241,Single Port QDR Infiniband I/O Expansion Module AXXIBQDRIOMV,Q3'09,Discontinued,,,
51233,Dual Gigabit Ethernet I/O Expansion Module AXXGBIOMOD,Q1'09,Discontinued,,,
51238,Dual Port 10 Gigabit Ethernet I/O Expansion Module AXX10GBIOMOD,Q1'09,Discontinued,,,
51237,Quad Port Gigabit Ethernet I/O Expansion Module AXX4GBIOMOD2,Q1'09,Discontinued,,,
51240,Single Port QDR InfiniBand I/O Module AXXIBQDRIOMOD,Q1'09,Discontinued,,,
50559,Intel® Storage Controller AXXSCM3S,Q4'07,Discontinued,,,
51236,Dual Gigabit Ethernet I/O Expansion Mezzanine Card AXXGBIOMEZ,Q4'07,Discontinued,,,
51235,Dual Gigabit Ethernet I/O Expansion Mezzanine Card AXXGBIOMEZV,Q4'07,Discontinued,,,
51242,Gigabit Ethernet Switch Switch Module AXXSW1GB,Q4'07,Discontinued,,,
51234,InfiniBand I/O Expansion Module AXXIBIOMOD,Q1'06,Discontinued,,,
