Product ID,Product Name,Launch Date,Logic Elements (LE),Digital Signal Processing (DSP) Blocks,Maximum Embedded Memory,Maximum User I/O Count†,Package Options
210324,Stratix® V 5SGXA3 FPGA,2010,340000,256,22.92 Mb,696,"F780, F1152, F1517"
210325,Stratix® V 5SGXA4 FPGA,2010,420000,256,41.84 Mb,696,"F1152, F1517"
210326,Stratix® V 5SGXA5 FPGA,2010,490000,256,50.65 Mb,840,"F1152, F1517, F1932"
210327,Stratix® V 5SGXA7 FPGA,2010,622000,256,57.16 Mb,840,"F1152, F1517, F1932"
210330,Stratix® V 5SGXA9 FPGA,2010,840000,352,61.67 Mb,840,"F1517, F1932"
210331,Stratix® V 5SGXAB FPGA,2010,952000,352,62.96 Mb,840,"F1517, F1932"
210333,Stratix® V 5SGXB5 FPGA,2010,490000,399,46.65 Mb,600,"F1517, F1760"
210329,Stratix® V 5SGXB6 FPGA,2010,597000,399,58.88 Mb,600,"F1517, F1760"
210332,Stratix® V 5SGXB9 FPGA,2010,840000,352,61.67 Mb,600,F1760
210328,Stratix® V 5SGXBB FPGA,2010,952000,352,62.96 Mb,600,F1760
