Product ID,Product Name,Launch Date,Marketing Status,FormFactor,ServerSystemType,SupportedCPUSocket
193489,Intel® Server System MCB2208WFAF4R,Q2'19,Discontinued,,,
193481,Intel® Server System MCB2208WFAF8R,Q2'19,Discontinued,,,
193453,Intel® Server System MCB2224BPHY1R,Q2'19,Discontinued,,,
193477,Intel® Server System MCB2208WFAF10R,Q2'19,Discontinued,,,
193487,Intel® Server System MCB2208WFAF5R,Q2'19,Discontinued,,,
193485,Intel® Server System MCB2208WFAF6R,Q2'19,Discontinued,,,
193483,Intel® Server System MCB2208WFAF7R,Q2'19,Discontinued,,,
193479,Intel® Server System MCB2208WFAF9R,Q2'19,Discontinued,,,
193491,Intel® Server System MCB2224BPAF3R,Q2'19,Discontinued,,,
193493,Intel® Server System MCB2312WFHY2R,Q2'19,Discontinued,,,
