Product ID,Product Name,CablingDescription,MaxTDP,Port Configuration,Data Rate Per Port,System Interface Type
121746,Intel® Ethernet Controller XXV710-AM1,,,Single,25/10/1GbE,PCIe v3.0 (8.0 GT/s)
121745,Intel® Ethernet Controller XXV710-AM2,,,Dual,2x25 or 2x10 Gbps,PCIe v3.0 (8.0 GT/s)
