Product ID,Product Name,Launch Date,Total Cores,Max Turbo Frequency,Cache,GPU Name‡
93339,Intel® Core™ i7-6785R Processor,Q2'16,4,3.90 GHz,8 MB,Intel® Iris® Pro Graphics 580
91169,Intel® Core™ i7-6660U Processor,Q1'16,2,3.40 GHz,4 MB Intel® Smart Cache,Intel® Iris® Graphics 540
93341,Intel® Core™ i7-6770HQ Processor,Q1'16,4,3.50 GHz,6 MB Intel® Smart Cache,Intel® Iris® Pro Graphics 580
93340,Intel® Core™ i7-6870HQ Processor,Q1'16,4,3.60 GHz,8 MB Intel® Smart Cache,Intel® Iris® Pro Graphics 580
93336,Intel® Core™ i7-6970HQ Processor,Q1'16,4,3.70 GHz,8 MB Intel® Smart Cache,Intel® Iris® Pro Graphics 580
88201,Intel® Core™ i7-6700TE Processor,Q4'15,4,3.40 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 530
90426,Intel® Core™ i7-6820EQ Processor,Q4'15,4,3.50 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 530
90615,Intel® Core™ i7-6822EQ Processor,Q4'15,4,2.80 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 530
88194,Intel® Core™ i7-6500U Processor,Q3'15,2,3.10 GHz,4 MB Intel® Smart Cache,Intel® HD Graphics 520
91163,Intel® Core™ i7-6560U Processor,Q3'15,2,3.20 GHz,4 MB Intel® Smart Cache,Intel® Iris® Graphics 540
88192,Intel® Core™ i7-6600U Processor,Q3'15,2,3.40 GHz,4 MB Intel® Smart Cache,Intel® HD Graphics 520
91497,Intel® Core™ i7-6650U Processor,Q3'15,2,3.40 GHz,4 MB Intel® Smart Cache,Intel® Iris® Graphics 540
88196,Intel® Core™ i7-6700 Processor,Q3'15,4,4.00 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 530
88967,Intel® Core™ i7-6700HQ Processor,Q3'15,4,3.50 GHz,6 MB Intel® Smart Cache,Intel® HD Graphics 530
88200,Intel® Core™ i7-6700T Processor,Q3'15,4,3.60 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 530
88969,Intel® Core™ i7-6820HK Processor,Q3'15,4,3.60 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 530
88970,Intel® Core™ i7-6820HQ Processor,Q3'15,4,3.60 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 530
88972,Intel® Core™ i7-6920HQ Processor,Q3'15,4,3.80 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 530
88195,Intel® Core™ i7-6700K Processor,Q3'15,4,4.20 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 530
91167,Intel® Core™ i7-6567U Processor,Q3'15,2,3.60 GHz,4 MB Intel® Smart Cache,Intel® Iris® Graphics 550
