Product ID,Product Name,Capacity,Form Factor,Interface
205315,"Intel® Optane™ Memory H20 with Solid State Storage  (32 GB + 1 TB, M.2 80mm PCIe 3.0, 3D XPoint™, QLC)",1 TB,M.2 22 x 80mm,"PCIe 3.0 x4, NVMe"
205316,"Intel® Optane™ Memory H20 with Solid State Storage  (32 GB + 512 GB, M.2 80mm PCIe 3.0, 3D XPoint™, QLC)",512 GB,M.2 22 x 80mm,"PCIe 3.0 x4, NVMe"
