Product ID,Product Name,CablingDescription,MaxTDP,NumPorts,NetworkDataRate,InterfaceType
50681,Intel® Ethernet SFP+ LR Optics,,,,,
50680,Intel® Ethernet SFP+ SR Optics,,,,,
