Product ID,Product Name,MemoryOverclockingSupport,PCI Express Revision,USB Revision
213680,Intel® C252 Chipset,,3.0,"3.2, 2.0"
213682,Intel® C256 Chipset,,3.0,"3.2, 2.0"
