Product ID,Product Name,Launch Date,Logic Elements (LE),Ordering Part Number
236400,Cyclone® V GT FPGA Development Kit  (Version B),2011,301000,DK-DEV-5CGTD9N-B
236403,Cyclone® IV GX FPGA Development Kit,2009,150000,DK-DEV-4CGX150N
236398,Cyclone® V E FPGA Development Kit,2011,149500,DK-DEV-5CEA7N
218512,Cyclone® V GT FPGA Development Kit,2011,301000,DK-DEV-5CGTD9N
218513,Cyclone® V SX SoC Development Kit,2012,110000,DK-DEV-5CSXC6N
218518,Intel® Cyclone® 10 GX FPGA Development Kit,2017,220000,DK-DEV-10CX220-A
147265,Intel® Cyclone® 10 LP FPGA Evaluation Kit,2017,24624,EK-10CL025U256
