Product ID,Product Name,Launch Date,LogicElements,DigitalSignalProcessingBlocks,EmbeddedMemoryMax,UserIOMax,Package Options
210263,MAX® II EPM1270 CPLD,Q1'14,,,,,"M256, F256, T144"
210259,MAX® II EPM2210 CPLD,Q1'14,,,,,"F256, F324"
210264,MAX® II EPM240 CPLD,Q1'14,,,,,"M100, F100, T100"
210266,MAX® II EPM570 CPLD,Q1'14,,,,,"M100, F100, M256, T100, F256, T144"
