Section,Key,Value
Retired and discontinued,,
"Front IO Panel AUPLWSFIO, Single",Ordering Code,AUPLWSFIO
"Front IO Panel AUPLWSFIO, Single",MDDS Content IDs,708449
"Front IO Panel AUPLWSFIO, Single",PCN Content IDs,810971
Trade Compliance Information,ECCN,EAR99
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8473305100
