Product ID,Product Name,Launch Date,Marketing Status,FormFactor,ServerSystemType,SupportedCPUSocket
212602,Riser0 Cable Kit Full Height  (2x16 & 1x8 PCIe Slots) KLPCBLR0FHK,Q1'21,Discontinued,,,
212563,Riser1 Cable Kit Half Height  (3x8 PCIe Slots) KLPCBLR1HHK,Q1'21,Discontinued,,,
203663,"Min-SAS HD, I2C, backplane power cable MYP1UCBL",Q2'20,Discontinued,,,
185800,Oculink Cable Kit A1U4PTRICXCVK,Q2'20,Discontinued,,,
124425,Cable Kit OCuLink* 1U 4 Port Retimer,Q3'18,Discontinued,,,
124420,Cable Kit OCuLink* 2U 4 Port Retimer,Q3'18,Discontinued,,,
136409,Cable Kit AXXCBL1MEHDHD,Q2'18,Discontinued,,,
136410,Cable Kit AXXCBL3MEHDHD,Q2'18,Discontinued,,,
136383,Cable Kit OCuLink* 1U 4 Port Switch,Q1'18,Discontinued,,,
124428,Cable Kit OCuLink* 2U 4 Port Switch #2,Q1'18,Discontinued,,,
125133,Redundant FAN Cable Kit AXXSTCBLFAN,Q3'17,Discontinued,,,
124496,95mm QAT Bridge Cable AXXSTCBLQAT,Q3'17,Discontinued,,,
124441,Cable Kit IFP Omnipath 235mm Left connector AXXCBL235IFPL1,Q3'17,Discontinued,,,
124442,Cable Kit IFP Omnipath 235mm Right connector AXXCBL235IFPR1,Q3'17,Discontinued,,,
124427,Cable Kit OCuLink* 2U 4 Port Switch #1,Q3'17,Discontinued,,,
124429,Cable Kit OCuLink* 2U 8 Port Switch #1,Q3'17,Discontinued,,,
124431,Cable Kit OCuLink* 2U 8 Port Switch #2,Q3'17,Discontinued,,,
124430,Cable Kit OCuLink* 2U 8 Port Switch #3,Q3'17,Discontinued,,,
124569,Front Panel Cable Kit AXXSTFPCBLKIT,Q3.17,Discontinued,,,
125134,I2C Cable Kit AXXSTI2CCBL,Q3'17,Discontinued,,,
125138,Lan Riser Cable Kit AXXSTSFPPKIT,Q3'17,Discontinued,,,
124445,Mezzanine Cable Kit AXXCBL370IFPS1,Q3'17,Discontinued,,,
124570,OCuLink Cable Kit AXXCBL450CVCR,Q3'17,Discontinued,,,
124571,OCuLink Cable Kit AXXCBL625CVCX,Q3'17,Discontinued,,,
124568,OCuLink Cable Kit AXXCBL665CVCV,Q3'17,Discontinued,,,
124450,Oculink Cable Kit AXXCBL470CVCR,Q3'17,Discontinued,,,
124447,Oculink Cable Kit AXXCBL530CVCR,Q3'17,Discontinued,,,
124448,Oculink Cable Kit AXXCBL600CVCR,Q3'17,Discontinued,,,
