Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ i7-12700TE Processor (25M Cache, up to 4.60 GHz) FC-LGA16A, Tray",Ordering Code,CM8071504619317
"Intel® Core™ i7-12700TE Processor (25M Cache, up to 4.60 GHz) FC-LGA16A, Tray",Spec Code,SRL6E
"Intel® Core™ i7-12700TE Processor (25M Cache, up to 4.60 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Core™ i7-12700TE Processor (25M Cache, up to 4.60 GHz) FC-LGA16A, Tray",Stepping,C0
"Intel® Core™ i7-12700TE Processor (25M Cache, up to 4.60 GHz) FC-LGA16A, Tray",MDDS Content IDs,721115
"Intel® Core™ i7-12700TE Processor (25M Cache, up to 4.60 GHz) FC-LGA16A, Tray",PCN Content IDs,"800746,798714,811981"
"Intel® Core™ i7-12700TE Processor (25M Cache, up to 4.60 GHz) FC-LGA16A, Tray",Recommended Customer Price,$378.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G167599
Trade Compliance Information,US HTS,8542310050
