Product ID,Product Name,Launch Date,Total Cores,Max Turbo Frequency,Cache,GPU Name‡
97539,Intel® Core™ i5-7260U Processor,Q1'17,2,3.40 GHz,4 MB,Intel® Iris® Plus Graphics 640
97528,Intel® Core™ i5-7267U Processor,Q1'17,2,3.50 GHz,4 MB,Intel® Iris® Plus Graphics 650
97531,Intel® Core™ i5-7287U Processor,Q1'17,2,3.70 GHz,4 MB,Intel® Iris® Plus Graphics 650
97456,Intel® Core™ i5-7300HQ Processor,Q1'17,4,3.50 GHz,6 MB,Intel® HD Graphics 630
97472,Intel® Core™ i5-7300U Processor,Q1'17,2,3.50 GHz,3 MB Intel® Smart Cache,Intel® HD Graphics 620
97535,Intel® Core™ i5-7360U Processor,Q1'17,2,3.60 GHz,4 MB,Intel® Iris® Plus Graphics 640
97147,Intel® Core™ i5-7400 Processor,Q1'17,4,3.50 GHz,6 MB Intel® Smart Cache,Intel® HD Graphics 630
97184,Intel® Core™ i5-7400T Processor,Q1'17,4,3.00 GHz,6 MB Intel® Smart Cache,Intel® HD Graphics 630
97523,Intel® Core™ i5-7440EQ Processor,Q1'17,4,3.60 GHz,6 MB,Intel® HD Graphics 630
97459,Intel® Core™ i5-7440HQ Processor,Q1'17,4,3.80 GHz,6 MB,Intel® HD Graphics 630
97532,Intel® Core™ i5-7442EQ Processor,Q1'17,4,2.90 GHz,6 MB,Intel® HD Graphics 630
97123,Intel® Core™ i5-7500 Processor,Q1'17,4,3.80 GHz,6 MB Intel® Smart Cache,Intel® HD Graphics 630
97121,Intel® Core™ i5-7500T Processor,Q1'17,4,3.30 GHz,6 MB Intel® Smart Cache,Intel® HD Graphics 630
97150,Intel® Core™ i5-7600 Processor,Q1'17,4,4.10 GHz,6 MB Intel® Smart Cache,Intel® HD Graphics 630
97144,Intel® Core™ i5-7600K Processor,Q1'17,4,4.20 GHz,6 MB Intel® Smart Cache,Intel® HD Graphics 630
97183,Intel® Core™ i5-7600T Processor,Q1'17,4,3.70 GHz,6 MB Intel® Smart Cache,Intel® HD Graphics 630
97461,Intel® Core™ i5-7Y57 Processor,Q1'17,2,3.30 GHz,4 MB Intel® Smart Cache,Intel® HD Graphics 615
95443,Intel® Core™ i5-7200U Processor,Q3'16,2,3.10 GHz,3 MB Intel® Smart Cache,Intel® HD Graphics 620
95452,Intel® Core™ i5-7Y54 Processor,Q3'16,2,3.20 GHz,4 MB Intel® Smart Cache,Intel® HD Graphics 615
