Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ Ultra 9 processor 275HX (36M Cache, up to 5.40 GHz) FCBGA18X, Tray",Ordering Code,AC80768067E2
"Intel® Core™ Ultra 9 processor 275HX (36M Cache, up to 5.40 GHz) FCBGA18X, Tray",Spec Code,SRVFK
"Intel® Core™ Ultra 9 processor 275HX (36M Cache, up to 5.40 GHz) FCBGA18X, Tray",Shipping Media,TRAY
"Intel® Core™ Ultra 9 processor 275HX (36M Cache, up to 5.40 GHz) FCBGA18X, Tray",Stepping,B0
"Intel® Core™ Ultra 9 processor 275HX (36M Cache, up to 5.40 GHz) FCBGA18X, Tray",MDDS Content IDs,839151
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,740.17B1
Trade Compliance Information,US HTS,8542310050
