Product ID,Product Name,Launch Date,Logic Elements (LE),Digital Signal Processing (DSP) Blocks,Maximum Embedded Memory,Maximum User I/O Count†,Package Options
210446,Cyclone® V 5CGTD5 FPGA,2011,77000,150,4.884 Mb,336,"M301, M383, U484, F484, F672"
210447,Cyclone® V 5CGTD7 FPGA,2011,149500,156,7.696 Mb,480,"M484, U484, F484, F672, F896"
210448,Cyclone® V 5CGTD9 FPGA,2011,301000,342,13.917 Mb,560,"U484, F484, F672, F896, F1152"
