Section,Key,Value
Retired and discontinued,,
"Intel® Xeon® Processor E3-1275 (8M Cache, 3.40 GHz) FC-LGA10, Tray",Ordering Code,CM8062307262003
"Intel® Xeon® Processor E3-1275 (8M Cache, 3.40 GHz) FC-LGA10, Tray",Spec Code,SR00P
"Intel® Xeon® Processor E3-1275 (8M Cache, 3.40 GHz) FC-LGA10, Tray",Shipping Media,TRAY
"Intel® Xeon® Processor E3-1275 (8M Cache, 3.40 GHz) FC-LGA10, Tray",Stepping,D2
"Intel® Xeon® Processor E3-1275 (8M Cache, 3.40 GHz) FC-LGA10, Tray",MDDS Content IDs,"797613,798094,799590,799624,799686,802395,802525,805021,810640,811467,813819,813824"
"Intel® Xeon® Processor E3-1275 (8M Cache, 3.40 GHz) FC-LGA10, Tray",PCN Content IDs,"797613,799590,798094,799624,799686,802395,802525,805021,811467,810640,813819,813824"
"Boxed Intel® Xeon® Processor E3-1275 (8M Cache, 3.40 GHz) FC-LGA10",Ordering Code,BX80623E31275
"Boxed Intel® Xeon® Processor E3-1275 (8M Cache, 3.40 GHz) FC-LGA10",Spec Code,SR00P
"Boxed Intel® Xeon® Processor E3-1275 (8M Cache, 3.40 GHz) FC-LGA10",Shipping Media,BOX
"Boxed Intel® Xeon® Processor E3-1275 (8M Cache, 3.40 GHz) FC-LGA10",Stepping,D2
"Boxed Intel® Xeon® Processor E3-1275 (8M Cache, 3.40 GHz) FC-LGA10",MDDS Content IDs,708700
"Boxed Intel® Xeon® Processor E3-1275 (8M Cache, 3.40 GHz) FC-LGA10",PCN Content IDs,"796855,804291,805015,811500,809454"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
