Product ID,Product Name,Launch Date,Wi-Fi CERTIFIED*,Max Speed,WifiBandwith,TX/RX Streams
83635,Intel® Dual Band Wireless-AC 7265,Q3'14,Wi-Fi 5 (802.11ac),867 Mbps,,2x2
84177,Intel® Dual Band Wireless-N 7265,Q3'14,802.11agn,300 Mbps,,2x2
84178,Intel® Wireless-N 7265,Q3'14,802.11bgn,300 Mbps,,2x2
75439,Intel® Dual Band Wireless-AC 7260,Q2'13,802.11ac,300/867 Mbps,,2x2
78541,Intel® Dual Band Wireless-AC 7260 for Desktop,Q2'13,802.11ac,867 Mbps,,2x2
75440,Intel® Dual Band Wireless-N 7260,Q2'13,802.11agn,300 Mbps,,2x2
75174,Intel® Wireless-N 7260,Q2'13,802.11bgn,300 Mbps,,2x2
