Product ID,Product Name,CablingDescription,MaxTDP,NumPorts,NetworkDataRate,InterfaceType
95600,Intel® Ethernet QSFP+ LR Optics,,,,,
84321,Intel® Ethernet QSFP+ SR Optics,,,,,
