Product ID,Product Name,Launch Date,Logic Elements (LE),Digital Signal Processing (DSP) Blocks,Maximum Embedded Memory,Maximum User I/O Count†,Package Options
210321,Stratix® V 5SGSD3 FPGA,2010,236000,600,15.72 Mb,432,"F780, F1152"
210317,Stratix® V 5SGSD4 FPGA,2010,360000,1044,23.15 Mb,696,"F780, F1152, F1517"
210318,Stratix® V 5SGSD5 FPGA,2010,457000,1590,44.27 Mb,696,"F1152, F1517"
210319,Stratix® V 5SGSD6 FPGA,2010,583000,1775,51.71 Mb,840,"F1517, F1932"
210320,Stratix® V 5SGSD8 FPGA,2010,695000,1963,58.01 Mb,840,"F1517, F1932"
