Product ID,Product Name,Launch Date,Total Cores,Max Turbo Frequency,Processor Base Frequency,Cache,TDP
214754,Intel® Celeron® Processor N6210,Q1'21,2,,1.20 GHz,1.5 MB L2 Cache,6.5 W
212326,Intel® Celeron® Processor N4500,Q1'21,2,,1.10 GHz,4 MB Intel® Smart Cache,6 W
212324,Intel® Celeron® Processor N4505,Q1'21,2,,2.00 GHz,4 MB Intel® Smart Cache,10 W
212329,Intel® Celeron® Processor N5100,Q1'21,4,,1.10 GHz,4 MB Intel® Smart Cache,6 W
212328,Intel® Celeron® Processor N5105,Q1'21,4,,2.00 GHz,4 MB Intel® Smart Cache,10 W
207898,Intel® Celeron® Processor N6211,Q1'21,2,,1.20 GHz,1.5 MB L2 Cache,6.5 W
197310,Intel® Celeron® Processor N4020,Q4'19,2,,1.10 GHz,4 MB,6 W
197309,Intel® Celeron® Processor N4120,Q4'19,4,,1.10 GHz,4 MB,6 W
195254,Intel® Celeron® Processor N3350E,Q3'19,2,2.40 GHz,1.10 GHz,2 MB,6 W
128988,Intel® Celeron® Processor N4000,Q4'17,2,,1.10 GHz,4 MB,6 W
128983,Intel® Celeron® Processor N4100,Q4'17,4,,1.10 GHz,4 MB,6 W
95598,Intel® Celeron® Processor N3350,Q3'16,2,,1.10 GHz,2 MB L2 Cache,6 W
95596,Intel® Celeron® Processor N3450,Q3'16,4,,1.10 GHz,2 MB L2 Cache,6 W
91710,Intel® Celeron® Processor N3010,Q1'16,2,,1.04 GHz,2 MB L2 Cache,4 W
91832,Intel® Celeron® Processor N3060,Q1'16,2,,1.60 GHz,2 MB L2 Cache,6 W
91831,Intel® Celeron® Processor N3160,Q1'16,4,,1.60 GHz,2 MB L2 Cache,6 W
87259,Intel® Celeron® Processor N3000,Q1'15,2,,1.04 GHz,2 MB L2 Cache,4 W
87257,Intel® Celeron® Processor N3050,Q1'15,2,,1.60 GHz,2 MB L2 Cache,6 W
87258,Intel® Celeron® Processor N3150,Q1'15,4,,1.60 GHz,2 MB L2 Cache,6 W
82102,Intel® Celeron® Processor N2808,Q3'14,2,,1.58 GHz,1 MB L2 Cache,4.5 W
82103,Intel® Celeron® Processor N2840,Q3'14,2,,2.16 GHz,1 MB L2 Cache,7.5 W
82104,Intel® Celeron® Processor N2940,Q3'14,4,,1.83 GHz,2 MB L2 Cache,7.5 W
81072,Intel® Celeron® Processor N2807,Q1'14,2,,1.58 GHz,1 MB,4.3 W
81071,Intel® Celeron® Processor N2830,Q1'14,2,,2.16 GHz,1 MB,7.5 W
81073,Intel® Celeron® Processor N2930,Q1'14,4,,1.83 GHz,2 MB,7.5 W
79050,Intel® Celeron® Processor N2806,Q4'13,2,,1.60 GHz,1 MB,4.5 W
79051,Intel® Celeron® Processor N2815,Q4'13,2,,1.86 GHz,1 MB,7.5 W
79052,Intel® Celeron® Processor N2820,Q4'13,2,,2.13 GHz,1 MB,7.5 W
79053,Intel® Celeron® Processor N2920,Q4'13,4,,1.86 GHz,2 MB,7.5 W
76754,Intel® Celeron® Processor N2805,Q3'13,2,,1.46 GHz,1 MB,4.3 W
76753,Intel® Celeron® Processor N2810,Q3'13,2,,2.00 GHz,1 MB,7.5 W
76752,Intel® Celeron® Processor N2910,Q3'13,4,,1.60 GHz,2 MB,7.5 W
