Product ID,Product Name,Supports Overclocking,PCI Express Revision,USB Revision
187451,Intel® HM670 Chipset,"IA, Memory","3.0, 4.0","3.2, 2.0"
187452,Intel® WM690 Chipset,,"3.0, 4.0","3.2, 2.0"
