Product ID,Product Name,LatestVersion,LatestReleaseDate,Category,Ordering Part Number
237717,CPRI Version 7.0 IP Core,,,Interface Protocols,IP-CPRI-V7
237718,CPRI v7 PHY for E-tile,,,Interface Protocols,IP-CPRI-V7-E-PHY
237740,eCPRI Interface,,,Interface Protocols,IP-eCPRI
