Product ID,Product Name,Launch Date,Total Cores,ClockSpeedMax,Processor Base Frequency,Cache,TDP
212330,Intel® Pentium® Silver N6000 Processor,Q1'21,4,,1.10 GHz,4 MB Intel® Smart Cache,6 W
212327,Intel® Pentium® Silver N6005 Processor,Q1'21,4,,2.00 GHz,4 MB Intel® Smart Cache,10 W
197304,Intel® Pentium® Silver J5040 Processor,Q4'19,4,,2.00 GHz,4 MB,10 W
197308,Intel® Pentium® Silver N5030 Processor,Q4'19,4,,1.10 GHz,4 MB,6 W
128984,Intel® Pentium® Silver J5005 Processor,Q4'17,4,,1.50 GHz,4 MB,10 W
128990,Intel® Pentium® Silver N5000 Processor,Q4'17,4,,1.10 GHz,4 MB,6 W
