Section,Key,Value
Retired and discontinued,,
"Intel® Xeon® Processor E7-8857 v2 (30M Cache, 3.00 GHz) FC-LGA12A, Tray",Ordering Code,CM8063601275912
"Intel® Xeon® Processor E7-8857 v2 (30M Cache, 3.00 GHz) FC-LGA12A, Tray",Spec Code,SR1GT
"Intel® Xeon® Processor E7-8857 v2 (30M Cache, 3.00 GHz) FC-LGA12A, Tray",Shipping Media,TRAY
"Intel® Xeon® Processor E7-8857 v2 (30M Cache, 3.00 GHz) FC-LGA12A, Tray",Stepping,D1
"Intel® Xeon® Processor E7-8857 v2 (30M Cache, 3.00 GHz) FC-LGA12A, Tray",MDDS Content IDs,708857
"Intel® Xeon® Processor E7-8857 v2 (30M Cache, 3.00 GHz) FC-LGA12A, Tray",PCN Content IDs,"799351,796764,799686,798742,802525,799624,809021,799685,802395"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
