Product ID,Product Name,Launch Date,Logic Elements (LE),Digital Signal Processing (DSP) Blocks,Maximum Embedded Memory,Maximum User I/O Count†,Package Options
210461,Cyclone® V 5CSTD5 FPGA,2012,85000,87,4.45 Mb,288,F896
210460,Cyclone® V 5CSTD6 FPGA,2012,110000,112,6.191 Mb,288,F896
