Product ID,Product Name,Marketing Status,Board Form Factor,Chassis Form Factor,Socket,TDP
192612,Intel® Server Board S2600STBR,Discontinued,SSI EEB (12 x 13 in),Rack or Pedestal,Socket P,205 W
192614,Intel® Server Board S2600STQR,Discontinued,SSI EEB (12 x 13 in),Rack or Pedestal,Socket P,205 W
124477,Intel® Server Board S2600STB,Discontinued,SSI EEB (12 x 13 in),Rack or Pedestal,Socket P,205 W
124481,Intel® Server Board S2600STQ,Discontinued,SSI EEB (12 x 13 in),Rack or Pedestal,Socket P,205 W
