Product ID,Product Name,Capacity,Form Factor,Interface
189614,"Intel® Optane™ Memory H10 with Solid State Storage  (Intel® Optane™ Memory 16GB + Intel® QLC 3D NAND SSD 256GB, M.2 80mm PCIe 3.0)",256 GB,M.2 22 x 80mm,"PCIe 3.0 x4, NVMe"
189611,"Intel® Optane™ Memory H10 with Solid State Storage  (Intel® Optane™ Memory 32GB + Intel® QLC 3D NAND SSD 1TB, M.2 80mm PCIe 3.0)",1 TB,M.2 22 x 80mm,"PCIe 3.0 x4, NVMe"
189613,"Intel® Optane™ Memory H10 with Solid State Storage  (Intel® Optane™ Memory 32GB + Intel® QLC 3D NAND SSD 512GB, M.2 80mm PCIe 3.0)",512 GB,M.2 22 x 80mm,"PCIe 3.0 x4, NVMe"
