Product ID,Product Name,Launch Date,Total Cores,Max Turbo Frequency,Cache,GPU Name‡
198019,Intel® Core™ i9-10900X X-series Processor,Q4'19,10,4.50 GHz,19.25 MB Intel® Smart Cache,
198012,Intel® Core™ i9-10920X X-series Processor,Q4'19,12,4.60 GHz,19.25 MB Intel® Smart Cache,
198014,Intel® Core™ i9-10940X X-series Processor,Q4'19,14,4.60 GHz,19.25 MB Intel® Smart Cache,
198017,Intel® Core™ i9-10980XE Extreme Edition Processor,Q4'19,18,4.60 GHz,24.75 MB Intel® Smart Cache,
189122,Intel® Core™ i7-9800X X-series Processor,Q4'18,8,4.40 GHz,16.5 MB Intel® Smart Cache,
189121,Intel® Core™ i9-9820X X-series Processor,Q4'18,10,4.10 GHz,16.5 MB Intel® Smart Cache,
189124,Intel® Core™ i9-9900X X-series Processor,Q4'18,10,4.40 GHz,19.25 MB Intel® Smart Cache,
189127,Intel® Core™ i9-9920X X-series Processor,Q4'18,12,4.40 GHz,19.25 MB Intel® Smart Cache,
189125,Intel® Core™ i9-9940X X-series Processor,Q4'18,14,4.40 GHz,19.25 MB Intel® Smart Cache,
189123,Intel® Core™ i9-9960X X-series Processor,Q4'18,16,4.40 GHz,22 MB Intel® Smart Cache,
189126,Intel® Core™ i9-9980XE Extreme Edition Processor,Q4'18,18,4.40 GHz,24.75 MB Intel® Smart Cache,
126695,Intel® Core™ i9-7940X X-series Processor,Q3'17,14,4.30 GHz,19.25 MB,
126697,Intel® Core™ i9-7960X X-series Processor,Q3'17,16,4.20 GHz,22 MB,
126699,Intel® Core™ i9-7980XE Extreme Edition Processor,Q3'17,18,4.20 GHz,24.75 MB,
126240,Intel® Core™ i9-7920X X-series Processor,Q3'17,12,4.30 GHz,16.5 MB L3 Cache,
121500,Intel® Core™ i5-7640X X-series Processor,Q2'17,4,4.20 GHz,6 MB,
121499,Intel® Core™ i7-7740X X-series Processor,Q2'17,4,4.50 GHz,8 MB,
123589,Intel® Core™ i7-7800X X-series Processor,Q2'17,6,4.00 GHz,8.25 MB L3 Cache,
123767,Intel® Core™ i7-7820X X-series Processor,Q2'17,8,4.30 GHz,11 MB L3 Cache,
123613,Intel® Core™ i9-7900X X-series Processor,Q2'17,10,4.30 GHz,13.75 MB L3 Cache,
94189,Intel® Core™ i7-6800K Processor,Q2'16,6,3.60 GHz,15 MB Intel® Smart Cache,
94188,Intel® Core™ i7-6850K Processor,Q2'16,6,3.80 GHz,15 MB,
94196,Intel® Core™ i7-6900K Processor,Q2'16,8,3.70 GHz,20 MB,
94456,Intel® Core™ i7-6950X Processor Extreme Edition,Q2'16,10,3.50 GHz,25 MB,
82932,Intel® Core™ i7-5820K Processor,Q3'14,6,3.60 GHz,15 MB Intel® Smart Cache,
82931,Intel® Core™ i7-5930K Processor,Q3'14,6,3.70 GHz,15 MB Intel® Smart Cache,
82930,Intel® Core™ i7-5960X Processor Extreme Edition,Q3'14,8,3.50 GHz,20 MB Intel® Smart Cache,
78940,Intel® Core™ i7-4940MX Processor Extreme Edition,Q1'14,4,4.00 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 4600
77781,Intel® Core™ i7-4820K Processor,Q3'13,4,3.90 GHz,10 MB Intel® Smart Cache,
77780,Intel® Core™ i7-4930K Processor,Q3'13,6,3.90 GHz,12 MB Intel® Smart Cache,
77779,Intel® Core™ i7-4960X Processor Extreme Edition,Q3'13,6,4.00 GHz,15 MB Intel® Smart Cache,
75133,Intel® Core™ i7-4930MX Processor Extreme Edition,Q2'13,4,3.90 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 4600
70845,Intel® Core™ i7-3970X Processor Extreme Edition,Q4'12,6,4.00 GHz,15 MB Intel® Smart Cache,
71096,Intel® Core™ i7-3940XM Processor Extreme Edition,Q3'12,4,3.90 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 4000
64887,Intel® Core™ i7-3920XM Processor Extreme Edition,Q2'12,4,3.80 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 4000
63698,Intel® Core™ i7-3820 Processor,Q1'12,4,3.80 GHz,10 MB Intel® Smart Cache,
63697,Intel® Core™ i7-3930K Processor,Q4'11,6,3.80 GHz,12 MB Intel® Smart Cache,
63696,Intel® Core™ i7-3960X Processor Extreme Edition,Q4'11,6,3.90 GHz,15 MB Intel® Smart Cache,
