Product ID,Product Name,Launch Date,Total Cores,Max Turbo Frequency,Processor Base Frequency,Cache,TDP
215286,Intel® Xeon® Gold 5315Y Processor,Q2'21,8,3.60 GHz,3.20 GHz,12 MB,140 W
215272,Intel® Xeon® Gold 5317 Processor,Q2'21,12,3.60 GHz,3.00 GHz,18 MB,150 W
215281,Intel® Xeon® Gold 5318N Processor,Q2'21,24,3.40 GHz,2.10 GHz,36 MB,150 W
215279,Intel® Xeon® Gold 5318S Processor,Q2'21,24,3.40 GHz,2.10 GHz,36 MB,165 W
215271,Intel® Xeon® Gold 5318Y Processor,Q2'21,24,3.40 GHz,2.10 GHz,36 MB,165 W
215285,Intel® Xeon® Gold 5320 Processor,Q2'21,26,3.40 GHz,2.20 GHz,39 MB,185 W
215284,Intel® Xeon® Gold 5320T Processor,Q2'21,20,3.50 GHz,2.30 GHz,30 MB,150 W
215282,Intel® Xeon® Gold 6312U Processor,Q2'21,24,3.60 GHz,2.40 GHz,36 MB,185 W
212461,Intel® Xeon® Gold 6314U Processor,Q2'21,32,3.40 GHz,2.30 GHz,48 MB,205 W
215274,Intel® Xeon® Gold 6326 Processor,Q2'21,16,3.50 GHz,2.90 GHz,24 MB,185 W
212458,Intel® Xeon® Gold 6330 Processor,Q2'21,28,3.10 GHz,2.00 GHz,42 MB,205 W
212286,Intel® Xeon® Gold 6330N Processor,Q2'21,28,3.40 GHz,2.20 GHz,42 MB,165 W
215273,Intel® Xeon® Gold 6334 Processor,Q2'21,8,3.70 GHz,3.60 GHz,18 MB,165 W
215280,Intel® Xeon® Gold 6336Y Processor,Q2'21,24,3.60 GHz,2.40 GHz,36 MB,185 W
212285,Intel® Xeon® Gold 6338 Processor,Q2'21,32,3.20 GHz,2.00 GHz,48 MB,205 W
212633,Intel® Xeon® Gold 6338N Processor,Q2'21,32,3.50 GHz,2.20 GHz,48 MB,185 W
215278,Intel® Xeon® Gold 6338T Processor,Q2'21,24,3.40 GHz,2.10 GHz,36 MB,165 W
215276,Intel® Xeon® Gold 6342 Processor,Q2'21,24,3.50 GHz,2.80 GHz,36 MB,230 W
212457,Intel® Xeon® Gold 6346 Processor,Q2'21,16,3.60 GHz,3.10 GHz,36 MB,205 W
212456,Intel® Xeon® Gold 6348 Processor,Q2'21,28,3.50 GHz,2.60 GHz,42 MB,235 W
212460,Intel® Xeon® Gold 6354 Processor,Q2'21,18,3.60 GHz,3.00 GHz,39 MB,205 W
212288,Intel® Xeon® Platinum 8351N Processor,Q2'21,36,3.50 GHz,2.40 GHz,54 MB,225 W
217215,Intel® Xeon® Platinum 8352M Processor,Q2'21,32,3.50 GHz,2.30 GHz,48 MB,185 W
212307,Intel® Xeon® Platinum 8352S Processor,Q2'21,32,3.40 GHz,2.20 GHz,48 MB,205 W
212454,Intel® Xeon® Platinum 8352V Processor,Q2'21,36,3.50 GHz,2.10 GHz,54 MB,195 W
212284,Intel® Xeon® Platinum 8352Y Processor,Q2'21,32,3.40 GHz,2.20 GHz,48 MB,205 W
212282,Intel® Xeon® Platinum 8358 Processor,Q2'21,32,3.40 GHz,2.60 GHz,48 MB,250 W
212308,Intel® Xeon® Platinum 8358P Processor,Q2'21,32,3.40 GHz,2.60 GHz,48 MB,240 W
212459,Intel® Xeon® Platinum 8360Y Processor,Q2'21,36,3.50 GHz,2.40 GHz,54 MB,250 W
217216,Intel® Xeon® Platinum 8362 Processor,Q2'21,32,3.60 GHz,2.80 GHz,48 MB,265 W
212455,Intel® Xeon® Platinum 8368 Processor,Q2'21,38,3.40 GHz,2.40 GHz,57 MB,270 W
212289,Intel® Xeon® Platinum 8368Q Processor,Q2'21,38,3.70 GHz,2.60 GHz,57 MB,270 W
212287,Intel® Xeon® Platinum 8380 Processor,Q2'21,40,3.40 GHz,2.30 GHz,60 MB,270 W
215275,Intel® Xeon® Silver 4309Y Processor,Q2'21,8,3.60 GHz,2.80 GHz,12 MB,105 W
215277,Intel® Xeon® Silver 4310 Processor,Q2'21,12,3.30 GHz,2.10 GHz,18 MB,120 W
215283,Intel® Xeon® Silver 4310T Processor,Q2'21,10,3.40 GHz,2.30 GHz,15 MB,105 W
215269,Intel® Xeon® Silver 4314 Processor,Q2'21,16,3.40 GHz,2.40 GHz,24 MB,135 W
215270,Intel® Xeon® Silver 4316 Processor,Q2'21,20,3.40 GHz,2.30 GHz,30 MB,150 W
204091,Intel® Xeon® Gold 6330H Processor,Q3'20,24,3.70 GHz,2.00 GHz,33 MB,150 W
204097,Intel® Xeon® Platinum 8356H Processor,Q3'20,8,4.40 GHz,3.90 GHz,35.75 MB,190 W
204089,Intel® Xeon® Platinum 8360H Processor,Q3'20,24,4.20 GHz,3.00 GHz,33 MB,225 W
205688,Intel® Xeon® Platinum 8360HL Processor,Q3'20,24,4.20 GHz,3.00 GHz,33 MB,225 W
204086,Intel® Xeon® Gold 5318H Processor,Q2'20,18,3.80 GHz,2.50 GHz,24.75 MB,150 W
204090,Intel® Xeon® Gold 5320H Processor,Q2'20,20,4.20 GHz,2.40 GHz,27.5 MB,150 W
204088,Intel® Xeon® Gold 6328H Processor,Q2'20,16,4.30 GHz,2.80 GHz,22 MB,165 W
205687,Intel® Xeon® Gold 6328HL Processor,Q2'20,16,4.30 GHz,2.80 GHz,22 MB,165 W
204095,Intel® Xeon® Gold 6348H Processor,Q2'20,24,4.20 GHz,2.30 GHz,33 MB,165 W
204092,Intel® Xeon® Platinum 8353H Processor,Q2'20,18,3.80 GHz,2.50 GHz,24.75 MB,150 W
204094,Intel® Xeon® Platinum 8354H Processor,Q2'20,18,4.30 GHz,3.10 GHz,24.75 MB,205 W
204096,Intel® Xeon® Platinum 8376H Processor,Q2'20,28,4.30 GHz,2.60 GHz,38.5 MB,205 W
205683,Intel® Xeon® Platinum 8376HL Processor,Q2'20,28,4.30 GHz,2.60 GHz,38.5 MB,205 W
204087,Intel® Xeon® Platinum 8380H Processor,Q2'20,28,4.30 GHz,2.90 GHz,38.5 MB,250 W
205684,Intel® Xeon® Platinum 8380HL Processor,Q2'20,28,4.30 GHz,2.90 GHz,38.5 MB,250 W
