Product ID,Product Name,Supports Overclocking,PCI Express Revision,USB Revision
232478,Intel® HM770 Chipset,"IA, Memory","3.0, 4.0","3.2, 2.0"
231690,Intel® WM790 Chipset,,"3.0, 4.0","3.2, 2.0"
