Product ID,Product Name,Launch Date,Total Cores,Max Turbo Frequency,Cache,GPU Name‡
242804,Intel® Core™ 3 Processor 201E,Q1'25,4,4.8 GHz,12 MB,Intel® UHD Graphics 770
242800,Intel® Core™ 3 Processor 201TE,Q1'25,4,4.6 GHz,12 MB,Intel® UHD Graphics 770
242797,Intel® Core™ 5 Processor 211E,Q1'25,10,4.9 GHz,20 MB,Intel® UHD Graphics 770
242802,Intel® Core™ 5 Processor 211TE,Q1'25,10,4.8 GHz,20 MB,Intel® UHD Graphics 770
242798,Intel® Core™ 5 Processor 221E,Q1'25,14,5.2 GHz,24 MB,Intel® UHD Graphics 770
242799,Intel® Core™ 5 Processor 221TE,Q1'25,14,5 GHz,24 MB,Intel® UHD Graphics 770
242803,Intel® Core™ 7 Processor 251E,Q1'25,24,5.6 GHz,36 MB,Intel® UHD Graphics 770
242801,Intel® Core™ 7 Processor 251TE,Q1'25,24,5.4 GHz,36 MB,Intel® UHD Graphics 770
238776,Intel® Core™ 5 processor 220U,Q1'25,10,5 GHz,12 MB Intel® Smart Cache,Intel® Graphics
238771,Intel® Core™ 7 processor 250U,Q1'25,10,5.4 GHz,12 MB Intel® Smart Cache,Intel® Graphics
241652,Intel® Core™ 5 processor 210H,Q4'24,8,4.8 GHz,12 MB Intel® Smart Cache,Intel® Graphics
241654,Intel® Core™ 5 processor 220H,Q4'24,12,4.9 GHz,18 MB Intel® Smart Cache,Intel® Graphics
241653,Intel® Core™ 7 processor 240H,Q4'24,10,5.2 GHz,24 MB Intel® Smart Cache,Intel® Graphics
241651,Intel® Core™ 7 processor 250H,Q4'24,14,5.4 GHz,24 MB Intel® Smart Cache,Intel® Graphics
241947,Intel® Core™ 9 processor 270H,Q4'24,14,5.8 GHz,24 MB Intel® Smart Cache,Intel® Graphics
