Product ID,Product Name,Launch Date,Logic Elements (LE),Digital Signal Processing (DSP) Blocks,Maximum Embedded Memory,Maximum User I/O Count†,Package Options
210290,Intel® Stratix® 10 GX 10M FPGA,2019,10200000,3456,308 Mb,2304,F4938
210288,Intel® Stratix® 10 GX 1100 FPGA,2013,1325000,2592,114 Mb,688,F1760
210292,Intel® Stratix® 10 GX 1650 FPGA,2013,1624000,3145,122 Mb,704,"F1760, F2397"
210294,Intel® Stratix® 10 GX 1660 FPGA,2013,1679000,3326,129 Mb,688,F1760
210287,Intel® Stratix® 10 GX 2100 FPGA,2013,2005000,3744,138 Mb,704,"F1760, F2397"
210293,Intel® Stratix® 10 GX 2110 FPGA,2013,2073000,3960,145 Mb,688,F1760
210289,Intel® Stratix® 10 GX 2500 FPGA,2013,2422000,5011,208 Mb,1160,"F1760, F2397, F2912"
210291,Intel® Stratix® 10 GX 2800 FPGA,2013,2753000,5760,244 Mb,1160,"F1760, F2397, F2912"
210285,Intel® Stratix® 10 GX 400 FPGA,2013,378000,648,32 Mb,392,F1152
210284,Intel® Stratix® 10 GX 650 FPGA,2013,612000,1152,52 Mb,392,F1152
210286,Intel® Stratix® 10 GX 850 FPGA,2013,841000,2016,72 Mb,688,F1760
