Product ID,Product Name,LatestVersion,LatestReleaseDate,Category,Ordering Part Number
237703,5G LDPC + CRC + Rate Match + Harq,,,Digital Signal Processing,"IP-LDPCV, IPR-LDPCV"
237734,Low Density Parity Check Encoder/Decoder,,,Digital Signal Processing,"IP-5G-LDPC, IPR-5G-LDPC"
