Product ID,Product Name,Launch Date,Marketing Status,Board Form Factor,Chassis Form Factor,Socket
229740,Intel® Server System M50FCP1UR204,Q1'23,Discontinued,18.79” x 16.84”,1U Rack,Socket-E LGA4677
229742,Intel® Server System M50FCP1UR212,Q1'23,Discontinued,18.79” x 16.84”,1U Rack,Socket-E LGA4677
229745,Intel® Server System M50FCP2UR208,Q1'23,Discontinued,18.79” x 16.84”,2U Rack,Socket-E LGA4677
229746,Intel® Server System M50FCP2UR312,Q1'23,Discontinued,18.79” x 16.84”,2U Rack,Socket-E LGA4677
