Product ID,Product Name,Launch Date,Total Cores,Max Turbo Frequency,Cache,GPU Name‡
78934,Intel® Core™ i7-4720HQ Processor,Q1'15,4,3.60 GHz,6 MB,Intel® HD Graphics 4600
78935,Intel® Core™ i7-4722HQ Processor,Q1'15,4,3.40 GHz,6 MB,Intel® HD Graphics 4600
83506,Intel® Core™ i7-4578U Processor,Q3'14,2,3.50 GHz,4 MB,Intel® Iris® Graphics 5100
83505,Intel® Core™ i7-4770HQ Processor,Q3'14,4,3.40 GHz,6 MB,Intel® Iris® Pro Graphics 5200
83504,Intel® Core™ i7-4870HQ Processor,Q3'14,4,3.70 GHz,6 MB,Intel® Iris® Pro Graphics 5200
83503,Intel® Core™ i7-4980HQ Processor,Q3'14,4,4.00 GHz,6 MB,Intel® Iris® Pro Graphics 5200
80807,Intel® Core™ i7-4790K Processor,Q2'14,4,4.40 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 4600
80814,Intel® Core™ i7-4785T Processor,Q2'14,4,3.20 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 4600
80806,Intel® Core™ i7-4790 Processor,Q2'14,4,4.00 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 4600
80808,Intel® Core™ i7-4790S Processor,Q2'14,4,4.00 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 4600
80809,Intel® Core™ i7-4790T Processor,Q2'14,4,3.90 GHz,8 MB Intel® Smart Cache,Intel® HD Graphics 4600
81015,Intel® Core™ i7-4510U Processor,Q2'14,2,3.10 GHz,4 MB Intel® Smart Cache,Intel® HD Graphics 4400
78930,Intel® Core™ i7-4710HQ Processor,Q2'14,4,3.50 GHz,6 MB Intel® Smart Cache,Intel® HD Graphics 4600
78931,Intel® Core™ i7-4710MQ Processor,Q2'14,4,3.50 GHz,6 MB Intel® Smart Cache,Intel® HD Graphics 4600
78932,Intel® Core™ i7-4712HQ Processor,Q2'14,4,3.30 GHz,6 MB Intel® Smart Cache,Intel® HD Graphics 4600
78933,Intel® Core™ i7-4712MQ Processor,Q2'14,4,3.30 GHz,6 MB Intel® Smart Cache,Intel® HD Graphics 4600
76090,Intel® Core™ i7-4760HQ Processor,Q2'14,4,3.30 GHz,6 MB Intel® Smart Cache,Intel® Iris® Pro Graphics 5200
75555,Intel® Core™ i7-4700EC Processor,Q1'14,4,,8 MB Intel® Smart Cache,
75556,Intel® Core™ i7-4702EC Processor,Q1'14,4,,8 MB Intel® Smart Cache,
80345,Intel® Core™ i7-4610M Processor,Q1'14,2,3.70 GHz,4 MB Intel® Smart Cache,Intel® HD Graphics 4600
78937,Intel® Core™ i7-4810MQ Processor,Q1'14,4,3.80 GHz,6 MB Intel® Smart Cache,Intel® HD Graphics 4600
