Product ID,Product Name,Supports Overclocking,PCI Express Revision,USB Revision
240123,Intel® HM870 Chipset,"IA, BCLK, Memory",4.0,"3.2, 2.0"
240127,Intel® WM880 Chipset,,4.0,"3.2, 2.0"
