Product ID,Product Name,Launch Date,Total Cores,ClockSpeedMax,Processor Base Frequency,Cache,TDP
58916,Intel Atom® Processor N2600,Q4'11,2,,1.60 GHz,1 MB L2 Cache,3.5 W
58917,Intel Atom® Processor N2800,Q4'11,2,,1.86 GHz,1 MB L2 Cache,6.5 W
