Product ID,Product Name,Launch Date,Logic Elements (LE),Digital Signal Processing (DSP) Blocks,Maximum Embedded Memory,Maximum User I/O Count†,Package Options
210301,Intel® Stratix® 10 SX 1100 FPGA,2013,1325000,2592,114 Mb,688,F1760
210305,Intel® Stratix® 10 SX 1650 FPGA,2013,1624000,3145,122 Mb,704,"F1760, F2397"
210306,Intel® Stratix® 10 SX 2100 FPGA,2013,2005000,3744,138 Mb,704,"F1760, F2397"
210307,Intel® Stratix® 10 SX 2500 FPGA,2013,2422000,5011,208 Mb,1160,"F1760, F2397, F2912"
210308,Intel® Stratix® 10 SX 2800 FPGA,2013,2753000,5760,244 Mb,1160,"F1760, F2397, F2912"
210300,Intel® Stratix® 10 SX 400 FPGA,2013,378000,648,32 Mb,392,F1152
210299,Intel® Stratix® 10 SX 650 FPGA,2013,612000,1152,52 Mb,392,F1152
210302,Intel® Stratix® 10 SX 850 FPGA,2013,841000,2016,72 Mb,688,F1760
