Product ID,Product Name,MemoryOverclockingSupport,PCI Express Revision,USB Revision
231695,Intel® C262 Chipset,,"3.0, 4.0","3.2, 2.0"
231692,Intel® C266 Chipset,,"3.0, 4.0","3.2, 2.0"
