Product ID,Product Name,LatestVersion,LatestReleaseDate,Category,Ordering Part Number
237746,10 Gigabit Ethernet MAC,,,Interface Protocols,"IP-10GETHMAC, IPR-10GETHMAC"
237741,10GBASE-KR PHY,,,Interface Protocols,"IP-10GBASEKRPHY, IPR-10GBASEKRPHY"
237743,10GBase-R PHY,,,Interface Protocols,"IP-10GBASERPCS, IPR-10GBASERPCS"
237747,10Gbps Ethernet MAC with 1588,,,Interface Protocols,"IP-10GETHMACF, IPR-10GETHMACF"
237744,1G / 2.5G / 5G / 10G Multi-Rate Ethernet PHY,,,Interface Protocols,"IP-10GMRPHY, IPR-10GMRPHY"
237745,1Gb/10Gb Ethernet PCS and PMA  (PHY),,,Interface Protocols,"IP-1G10GBASERPHY, IPR-1G10GBASERPHY"
237685,25Gb Ethernet MAC and PHY,,,Interface Protocols,"IP-25GEUMACPHY, IPR-25GEUMACPHY"
237736,Backplane Ethernet 40GBASE-KR4 PCS and PMA,,,Interface Protocols,"IP-40GBASEKR4PHY, IPR-40GBASEKR4PHY"
237720,E-tile Ethernet Hard-IP  (10GE/25GE/100GE),,,Interface Protocols,"IP-ETH-ETILEHIP, IPR-ETH-ETILEHIP"
237723,H-tile Ethernet Hard-IP  (100GE),,,Interface Protocols,"IP-ETH-HTILEHIP, IPR-ETH-HTILEHIP"
237732,Intel FPGA 50G Ethernet MAC / PHY IP,,,Interface Protocols,"IP-50GEUMACPHY, IPR-50GEUMACPHY"
237721,KR/CR  (AN/LT) for E-tile Ethernet Hard-IP  (10GE/25GE/100GE),,,Interface Protocols,"IP-ETH-ETILEKRCR, IPR-ETH-ETILEKRCR"
237724,KR/CR  (AN/LT) for H-tile Ethernet HIP  (100GE),,,Interface Protocols,"IP-ETH-HTILEKRCR, IPR-ETH-HTILEKRCR"
237719,KR/CR  (AN/LT) for Soft 100GE Ethernet IP,,,Interface Protocols,"IP-ETH-100GEUKRCR, IPR-ETH-100GEUKRCR"
237742,Low Latency 10 Gbps Ethernet MAC with 1588 option,,,Interface Protocols,"IP-10GEUMACF, IPR-10GEUMACF"
237694,Low Latency 10 Gigabit Ethernet MAC,,,Interface Protocols,"IP-10GEUMAC, IPR-10GEUMAC"
237681,Low Latency 100G MAC / PHY,,,Interface Protocols,IP-100GEUMACPHY
237748,Low Latency 100G MAC / PHY with 1588 Option,,,Interface Protocols,"IP-100GEUMACPHYF, IPR-100GEUMACPHYF"
237728,Low Latency 40G Ethernet for Agilex and Stratix 10 E-tile,,,Interface Protocols,"IP-40GETILEMAC, IPR-40GETILEMAC"
237686,Low Latency 40G MAC / PHY,,,Interface Protocols,"IP-40GEUMACPHY, IPR-40GEUMACPHY"
237731,Low Latency 40G MAC / PHY with 1588 option,,,Interface Protocols,"IP-40GEUMACPHYF, IPR-40GEUMACPHYF"
237754,Triple Speed Ethernet MAC  (10/100/1000 Mbps),,,Interface Protocols,"IP-TRIETHERNET, IPR-TRIETHERNET"
237755,Triple Speed Ethernet MAC  (10/100/1000 Mbps) with 1588,,,Interface Protocols,"IP-TRIETHERNETF, IPR-TRIETHERNETF"
237764,XAUI  (10GBase-X) PHY,,,Interface Protocols,"IP-XAUIPCS, IPR-XAUIPCS"
