Product ID,Product Name,Supports Overclocking,PCI Express Revision,USB Revision
196439,Intel® Q570 Chipset,,3.0,"3.2, 2.0"
196326,Intel® W580 Chipset,Memory,3.0,"3.2, 2.0"
196645,Intel® B560 Chipset,Memory,3.0,"3.2, 2.0"
196646,Intel® H510 Chipset,,3.0,"3.2, 2.0"
196613,Intel® H570 Chipset,Memory,3.0,"3.2, 2.0"
196612,Intel® Z590 Chipset,"IA, BCLK, Memory",3.0,"3.2, 2.0"
