Product ID,Product Name,Launch Date,Total Cores,ClockSpeedMax,Cache,GPU Name‡
77490,Intel® Core™ i3-4170 Processor,Q1'15,2,,3 MB,Intel® HD Graphics 4400
81209,Intel® Core™ i3-4170T Processor,Q1'15,2,,3 MB,Intel® HD Graphics 4400
81207,Intel® Core™ i3-4370T Processor,Q1'15,2,,4 MB,Intel® HD Graphics 4600
77488,Intel® Core™ i3-4160 Processor,Q3'14,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4400
77489,Intel® Core™ i3-4160T Processor,Q3'14,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4400
77494,Intel® Core™ i3-4360T Processor,Q3'14,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 4600
77495,Intel® Core™ i3-4370 Processor,Q3'14,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 4600
77486,Intel® Core™ i3-4150 Processor,Q2'14,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4400
77487,Intel® Core™ i3-4150T Processor,Q2'14,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4400
80918,Intel® Core™ i3-4340TE Processor,Q2'14,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 4600
77491,Intel® Core™ i3-4350 Processor,Q2'14,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 4600
77492,Intel® Core™ i3-4350T Processor,Q2'14,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 4600
77493,Intel® Core™ i3-4360 Processor,Q2'14,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 4600
81019,Intel® Core™ i3-4025U Processor,Q2'14,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4400
81018,Intel® Core™ i3-4030U Processor,Q2'14,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4400
81021,Intel® Core™ i3-4030Y Processor,Q2'14,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4200
79197,Intel® Core™ i3-4110E Processor,Q2'14,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4600
77483,Intel® Core™ i3-4110M Processor,Q2'14,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4600
79198,Intel® Core™ i3-4112E Processor,Q2'14,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4600
81017,Intel® Core™ i3-4120U Processor,Q2'14,2,,3 MB,Intel® HD Graphics 4400
75104,Intel® Core™ i3-4000M Processor,Q4'13,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4600
75105,Intel® Core™ i3-4005U Processor,Q3'13,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4400
76608,Intel® Core™ i3-4012Y Processor,Q3'13,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4200
76609,Intel® Core™ i3-4020Y Processor,Q3'13,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4200
76293,Intel® Core™ i3-4100E Processor,Q3'13,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4600
76346,Intel® Core™ i3-4100M Processor,Q4'13,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4600
76294,Intel® Core™ i3-4102E Processor,Q3'13,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4600
77480,Intel® Core™ i3-4130 Processor,Q3'13,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4400
77481,Intel® Core™ i3-4130T Processor,Q3'13,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4400
77769,Intel® Core™ i3-4330 Processor,Q3'13,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 4600
77770,Intel® Core™ i3-4330T Processor,Q3'13,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 4600
77778,Intel® Core™ i3-4330TE Processor,Q3'13,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 4600
77771,Intel® Core™ i3-4340 Processor,Q3'13,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 4600
75107,Intel® Core™ i3-4010U Processor,Q3'13,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4400
75988,Intel® Core™ i3-4010Y Processor,Q3'13,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4200
75110,Intel® Core™ i3-4100U Processor,Q3'13,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 4400
75989,Intel® Core™ i3-4158U Processor,Q3'13,2,,3 MB Intel® Smart Cache,Intel® Iris® Graphics 5100
