Product ID,Product Name,Marketing Status,Chassis Form Factor,ProcessorIncluded
81825,Intel® Server Chassis R1208WTXXX,Discontinued,"1U, Spread Core Rack",
81824,Intel® Server Chassis R1304WTXXX,Discontinued,"1U, Spread Core Rack",
