Product ID,Product Name,Marketing Status,Chassis Form Factor,ProcessorIncluded
99086,Intel® Server Chassis R2312WFXXX,Discontinued,"2U, Spread Core Rack",
99082,Intel® Server Chassis R2000WFXXX,Discontinued,"2U, Spread Core Rack",
