Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i3-6167U Processor (3M Cache, 2.70 GHz) FC-BGA14C, Tray",Ordering Code,FJ8066202498901
"Intel® Core™ i3-6167U Processor (3M Cache, 2.70 GHz) FC-BGA14C, Tray",Spec Code,SR2JF
"Intel® Core™ i3-6167U Processor (3M Cache, 2.70 GHz) FC-BGA14C, Tray",Shipping Media,TRAY
"Intel® Core™ i3-6167U Processor (3M Cache, 2.70 GHz) FC-BGA14C, Tray",Stepping,K1
"Intel® Core™ i3-6167U Processor (3M Cache, 2.70 GHz) FC-BGA14C, Tray",MDDS Content IDs,706364
"Intel® Core™ i3-6167U Processor (3M Cache, 2.70 GHz) FC-BGA14C, Tray",PCN Content IDs,"803801,795943,799624,799685,805104"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G147881
Trade Compliance Information,US HTS,8542310050
