Product ID,Product Name,LatestVersion,LatestReleaseDate,Category,Ordering Part Number
237699,Turbo Encoder/Decoder,,,Digital Signal Processing,"IP-TURBO, IPR-TURBO"
237765,Turbo IP  (IP-TURBO) + Rate  (De)Matcher +  (De)Interleaver +CRC,,,Digital Signal Processing,IP-TURBOV
