Product ID,Product Name,Launch Date,Total Cores,ClockSpeedMax,Processor Base Frequency,Cache,TDP
97143,Intel® Pentium® Processor G4560,Q1'17,2,,3.50 GHz,3 MB,54 W
97465,Intel® Pentium® Processor G4560T,Q1'17,2,,2.90 GHz,3 MB,35 W
97453,Intel® Pentium® Processor G4600,Q1'17,2,,3.60 GHz,3 MB,51 W
97486,Intel® Pentium® Processor G4600T,Q1'17,2,,3.00 GHz,3 MB,35 W
97460,Intel® Pentium® Processor G4620,Q1'17,2,,3.70 GHz,3 MB,51 W
90610,Intel® Pentium® Processor G4400TE,Q4'15,2,,2.40 GHz,3 MB Intel® Smart Cache,35 W
88179,Intel® Pentium® Processor G4400,Q3'15,2,,3.30 GHz,3 MB Intel® Smart Cache,54 W
90614,Intel® Pentium® Processor G4400T,Q3'15,2,,2.90 GHz,3 MB Intel® Smart Cache,35 W
90730,Intel® Pentium® Processor G4500,Q3'15,2,,3.50 GHz,3 MB Intel® Smart Cache,51 W
90725,Intel® Pentium® Processor G4500T,Q3'15,2,,3.00 GHz,3 MB Intel® Smart Cache,35 W
90732,Intel® Pentium® Processor G4520,Q3'15,2,,3.60 GHz,3 MB Intel® Smart Cache,51 W
87356,Intel® Pentium® Processor G3260,Q1'15,2,,3.30 GHz,3 MB,53 W
87357,Intel® Pentium® Processor G3260T,Q1'15,2,,2.90 GHz,3 MB,35 W
83429,Intel® Pentium® Processor G3460T,Q1'15,2,,3.00 GHz,3 MB,35 W
87358,Intel® Pentium® Processor G3470,Q1'15,2,,3.60 GHz,3 MB,53 W
83538,Intel® Pentium® Processor G3250,Q3'14,2,,3.20 GHz,3 MB Intel® Smart Cache,53 W
83539,Intel® Pentium® Processor G3250T,Q3'14,2,,2.80 GHz,3 MB Intel® Smart Cache,35 W
80793,Intel® Pentium® Processor G3450T,Q3'14,2,,2.90 GHz,3 MB Intel® Smart Cache,35 W
83428,Intel® Pentium® Processor G3460,Q3'14,2,,3.50 GHz,3 MB Intel® Smart Cache,53 W
82723,Intel® Pentium® Processor G3258,Q2'14,2,,3.20 GHz,3 MB,53 W
80796,Intel® Pentium® Processor G3240,Q2'14,2,,3.10 GHz,3 MB Intel® Smart Cache,53 W
80797,Intel® Pentium® Processor G3240T,Q2'14,2,,2.70 GHz,3 MB Intel® Smart Cache,35 W
80794,Intel® Pentium® Processor G3440,Q2'14,2,,3.30 GHz,3 MB Intel® Smart Cache,53 W
80795,Intel® Pentium® Processor G3440T,Q2'14,2,,2.80 GHz,3 MB Intel® Smart Cache,35 W
80792,Intel® Pentium® Processor G3450,Q2'14,2,,3.40 GHz,3 MB Intel® Smart Cache,53 W
77773,Intel® Pentium® Processor G3220,Q3'13,2,,3.00 GHz,3 MB Intel® Smart Cache,53 W
77774,Intel® Pentium® Processor G3220T,Q3'13,2,,2.60 GHz,3 MB Intel® Smart Cache,35 W
78007,Intel® Pentium® Processor G3320TE,Q3'13,2,,2.30 GHz,3 MB Intel® Smart Cache,35 W
77775,Intel® Pentium® Processor G3420,Q3'13,2,,3.20 GHz,3 MB Intel® Smart Cache,53 W
77776,Intel® Pentium® Processor G3420T,Q3'13,2,,2.70 GHz,3 MB Intel® Smart Cache,35 W
77777,Intel® Pentium® Processor G3430,Q3'13,2,,3.30 GHz,3 MB Intel® Smart Cache,53 W
74749,Intel® Pentium® Processor G2030,Q2'13,2,,3.00 GHz,3 MB Intel® Smart Cache,55 W
74748,Intel® Pentium® Processor G2030T,Q2'13,2,,2.60 GHz,3 MB Intel® Smart Cache,35 W
71097,Intel® Pentium® Processor G2120T,Q2'13,2,,2.70 GHz,3 MB Intel® Smart Cache,35 W
74747,Intel® Pentium® Processor G2140,Q2'13,2,,3.30 GHz,3 MB Intel® Smart Cache,55 W
71071,Intel® Pentium® Processor G2010,Q1'13,2,,2.80 GHz,3 MB Intel® Smart Cache,55 W
71070,Intel® Pentium® Processor G2020,Q1'13,2,,2.90 GHz,3 MB Intel® Smart Cache,55 W
71069,Intel® Pentium® Processor G2020T,Q1'13,2,,2.50 GHz,3 MB Intel® Smart Cache,35 W
71052,Intel® Pentium® Processor G2130,Q1'13,2,,3.20 GHz,3 MB Intel® Smart Cache,55 W
65738,Intel® Pentium® Processor G2100T,Q3'12,2,,2.60 GHz,3 MB Intel® Smart Cache,35 W
65527,Intel® Pentium® Processor G2120,Q3'12,2,,3.10 GHz,3 MB Intel® Smart Cache,55 W
