Product ID,Product Name,Supports Overclocking,PCI Express Revision,USB Revision
135101,Mobile Intel® HM370 Chipset,"IA, Memory",3.0,"3.1, 2.0"
135102,Mobile Intel® QM370 Chipset,,3.0,"3.1, 2.0"
