Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® 6523P-B processor (96M Cache, 2.50 GHz) FC--BGA18N, Tray",Ordering Code,HA8072004834264
"Intel® Xeon® 6523P-B processor (96M Cache, 2.50 GHz) FC--BGA18N, Tray",Spec Code,SRWGC
"Intel® Xeon® 6523P-B processor (96M Cache, 2.50 GHz) FC--BGA18N, Tray",Shipping Media,TRAY
"Intel® Xeon® 6523P-B processor (96M Cache, 2.50 GHz) FC--BGA18N, Tray",Stepping,B1
"Intel® Xeon® 6523P-B processor (96M Cache, 2.50 GHz) FC--BGA18N, Tray",Recommended Customer Price,$1450.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G192741
Trade Compliance Information,US HTS,8542310050
