Product ID,Product Name,Launch Date,Marketing Status,FormFactor,ServerSystemType,SupportedCPUSocket
230240,1U EVAC Heat Sink FCP1UHSEVAC,Q1'23,Discontinued,,,
230235,1U Heat Sink EGSM1UHSSTD,Q1'23,Discontinued,,,
230238,2U Heat Sink EGSM2UHSSTD,Q1'23,Discontinued,,,
225784,1U Hot-swap backplane AXXHSBP1304,Q1'22,Discontinued,,,
218373,2U Hot-swap backplane AXXHSBP2208,Q1'22,Discontinued,,,
214899,"1U EVAC Heat Sink, CYP1UHSEVAC",Q2'21,Discontinued,,,
214879,1U Heat-Sink CYP1UHSSTD,Q2'21,Discontinued,,,
214877,1U/2U Mezzanine Interposer CYPSASMODINT,Q2'21,Discontinued,,,
214876,2U Heat-Sink CYP2UHSSTD,Q2'21,Discontinued,,,
125899,CPU Carrier Clip AXXSTCPUCAR,Q3'17,Discontinued,,,
135951,D2C Liquid Cooling Kit AXXBPLCKIT,Q2'18,Discontinued,,,
137587,Liquid Assisted Air Cooling AXXADPRLAAC Kit,Q1'18,Discontinued,,,
126292,1U Passive Heat Sink AXXSTPHMKIT1U,Q3'17,Discontinued,,,
126289,2U Hybrid Heat Sink AXXSTPHMKIT2U,Q3'17,Discontinued,,,
126282,Passive Thermal Solution BXSTS300P,Q3'17,Discontinued,,,
126283,Passive Thermal Solution BXSTS300PNRW,Q3'17,Discontinued,,,
126284,Passive/Active Combination Heat-Sink with Removable Fan BXSTS300C,Q3'17,Discontinued,,,
124492,Tower Passive Heat-sink Kit AXXSTPHMKIT,Q3'17,Discontinued,,,
88321,Passive Heat-Sink AXXAPHS  (80mm x 100mm),Q4'16,Discontinued,,,
84797,Passive/Active Combination Heat-Sink with Removable Fan BXSTS200C,Q4'14,Discontinued,,,
82786,Passive Heat-Sink AUPCWPBTP  (92mm x 100mm),Q4'14,Discontinued,,,
84792,Passive Thermal Solution BXSTS200P,Q4'14,Discontinued,,,
65404,Accessory Heat Sink AXXCA90X902UHS optimized for Intel® P4000 Chassis,Q2'12,Discontinued,,,
64068,Heat Sink ABPSRCACP,Q1'12,Discontinued,,,
64067,Heat Sink AUPSRCBTA,Q1'12,Discontinued,,,
64066,Heat Sink AUPSRCBTP,Q1'12,Discontinued,,,
51107,Passive Thermal Solution BXSTS100P,Q1'09,Discontinued,,,
51226,Active Heat-Sink with Fixed Fan BXSTS100A,Q1'09,Discontinued,,,
51225,Passive/Active Combination Heat-Sink with Removable Fan BXSTS100C,Q1'09,Discontinued,,,
51231,Tower Heat-Sink FXXRGTHS,Q1'09,Discontinued,,,
51228,Tower Heat-Sink FXXRGTHSINK,Q1'09,Discontinued,,,
51230,CEK Processor Blank AFCPROCBLANK,Q3'07,Discontinued,,,
51229,CEK Processor Heat-Sink AFCPROCHS,Q3'07,Discontinued,,,
