Product ID,Product Name,Launch Date,Marketing Status,Board Form Factor,Chassis Form Factor,Socket
213322,Intel® Compute Module Liquid-Cooled HNS2600BPBRCT,Q3'21,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,P
192626,Intel® Compute Module HNS2600BPB24R,Q2'19,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
192630,Intel® Compute Module HNS2600BPBLC24R,Q2'19,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
192629,Intel® Compute Module HNS2600BPBLCR,Q2'19,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
192621,Intel® Compute Module HNS2600BPBR,Q2'19,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
192628,Intel® Compute Module HNS2600BPQ24R,Q2'19,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
192624,Intel® Compute Module HNS2600BPQR,Q2'19,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
192627,Intel® Compute Module HNS2600BPS24R,Q2'19,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
192623,Intel® Compute Module HNS2600BPSR,Q2'19,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
136862,Intel® Compute Module HNS2600BPBLC24,Q3'18,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
135925,Intel® Compute Module HNS2600BPBLC,Q2'18,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
93498,Intel® Compute Module HNS2600BPQ,Q3'17,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
93503,Intel® Compute Module HNS2600BPQ24,Q3'17,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
96349,Intel® Compute Module HNS2600BPS,Q3'17,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
96350,Intel® Compute Module HNS2600BPS24,Q3'17,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
93501,Intel® Compute Module HNS2600BPB,Q3'17,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
93499,Intel® Compute Module HNS2600BPB24,Q3'17,Discontinued,"Custom 6.8"" x 19.1""",2U Rack,Socket P
