Section,Key,Value
Retired and discontinued,,
"Hot-Swap Fan Upgrade Kit FRIGTHSFANKIT, Single",Ordering Code,FRIGTHSFANKIT
"Hot-Swap Fan Upgrade Kit FRIGTHSFANKIT, Single",MDDS Content IDs,708317
"Hot-Swap Fan Upgrade Kit FRIGTHSFANKIT, Single",PCN Content IDs,803972
Trade Compliance Information,ECCN,EAR99
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8414591500
