Product ID,Product Name,Supports Overclocking,PCI Express Revision,USB Revision
122941,Intel® X299 Chipset,"IA, Memory",3.0,"3.0, 2.0"
98086,Intel® B250 Chipset,,3.0,"3.0, 2.0"
98090,Intel® H270 Chipset,,3.0,"3.0, 2.0"
98084,Intel® Q250 Chipset,,3.0,"3.0, 2.0"
98088,Intel® Q270 Chipset,,3.0,"3.0, 2.0"
98089,Intel® Z270 Chipset,"IA, BCLK, Memory",3.0,"3.0, 2.0"
