Product ID,Product Name,Launch Date,Total Cores,ClockSpeedMax,Cache,GPU Name‡
91157,Intel® Core™ i3-6006U Processor,Q4'16,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 520
96484,Intel® Core™ i3-6157U Processor,Q3'16,2,,3 MB Intel® Smart Cache,Intel® Iris® Graphics 550
93366,Intel® Core™ i3-6098P Processor,Q4'15,2,,3 MB,Intel® HD Graphics 510
90611,Intel® Core™ i3-6100E Processor,Q4'15,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 530
88181,Intel® Core™ i3-6100TE Processor,Q4'15,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 530
90612,Intel® Core™ i3-6102E Processor,Q4'15,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 530
90729,Intel® Core™ i3-6100 Processor,Q3'15,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 530
89063,Intel® Core™ i3-6100H Processor,Q3'15,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 530
90734,Intel® Core™ i3-6100T Processor,Q3'15,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 530
88180,Intel® Core™ i3-6100U Processor,Q3'15,2,,3 MB Intel® Smart Cache,Intel® HD Graphics 520
91154,Intel® Core™ i3-6167U Processor,Q3'15,2,,3 MB Intel® Smart Cache,Intel® Iris® Graphics 550
90731,Intel® Core™ i3-6300 Processor,Q3'15,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 530
90728,Intel® Core™ i3-6300T Processor,Q3'15,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 530
90733,Intel® Core™ i3-6320 Processor,Q3'15,2,,4 MB Intel® Smart Cache,Intel® HD Graphics 530
