Product ID,Product Name,CablingDescription,TDP,Port Configuration,Data Rate Per Port,System Interface Type
210599,Intel® Ethernet Controller I226-V,,1.3 W,Single,2.5G,PCIe 3.1
210591,Intel® Ethernet Controller I226-IT,,1.5 W,Single,2.5G,PCIe 3.1
210595,Intel® Ethernet Controller I226-LM,,1.3 W,Single,2.5,PCIe 3.1
