Product ID,Product Name,Capacity,Form Factor,Interface
203879,Intel® Optane™ Persistent Memory 200 Series  (128GB PMEM) Module,128 GB,Persistent Memory Module (PMem),DDR-T
203878,Intel® Optane™ Persistent Memory 200 Series  (256GB PMEM) Module,256 GB,Persistent Memory Module (PMem),DDR-T
203880,Intel® Optane™ Persistent Memory 200 Series  (512GB PMEM) Module,512 GB,Persistent Memory Module (PMem),DDR-T
