Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ i5-10500H Processor (12M Cache, up to 4.50 GHz) FC-BGA14F, Tray",Ordering Code,CL8070104409309
"Intel® Core™ i5-10500H Processor (12M Cache, up to 4.50 GHz) FC-BGA14F, Tray",Spec Code,SRK3Z
"Intel® Core™ i5-10500H Processor (12M Cache, up to 4.50 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Core™ i5-10500H Processor (12M Cache, up to 4.50 GHz) FC-BGA14F, Tray",Stepping,R1
"Intel® Core™ i5-10500H Processor (12M Cache, up to 4.50 GHz) FC-BGA14F, Tray",MDDS Content IDs,707730
"Intel® Core™ i5-10500H Processor (12M Cache, up to 4.50 GHz) FC-BGA14F, Tray",PCN Content IDs,806422
"Intel® Core™ i5-10500H Processor (12M Cache, up to 4.50 GHz) FC-BGA14F, Tray",Recommended Customer Price,$275.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
