Product ID,Product Name,Marketing Status,Board Form Factor,RAID Level Supported,# of Ports Internal,# of Ports External,Cache Memory
211602,Intel® RAID Adapter RS3P4MF088F,Discontinued,Low-Profile MD2 PCIe AIC,"0, 1, 10, 5, 50, 6, 60",8,8,8GB
198765,Intel®  Storage Adapter  RS3P4GF016J,Discontinued,Low-Profile MD2 PCIe AIC,JBOD Only,,16,
198763,Intel® RAID Adapter RS3P4TF160F,Discontinued,Low-Profile MD2 PCIe AIC,"0, 1, 10, 5, 50, 6, 60",16,0,8GB
198762,Intel® Storage Adapter RS3P4QF160J,Discontinued,Low-Profile MD2 PCIe AIC,JBOD Only,16,0,
215007,Intel® RAID Controller RT3EX020E,Discontinued,MD2 low profile,RAID 1,2,,None
196352,Intel® RAID Controller AXM2RAID2T,Discontinued,MD2 low profile,RAID 1,2,,None
99497,Intel® RAID Adapter RSP3DD080F,Discontinued,Low-Profile MD2 PCIe AIC,"0, 1, 10, 5, 50, 6, 60",8,0,4GB
99496,Intel® RAID Adapter RSP3MD088F,Discontinued,Low-Profile MD2 PCIe AIC,"0, 1, 10, 5, 50, 6, 60",8,8,4GB
99500,Intel® RAID Adapter RSP3TD160F,Discontinued,Low-Profile MD2 PCIe AIC,"0, 1, 10, 5, 50, 6, 60",16,0,4GB
99499,Intel® RAID Adapter RSP3WD080E,Discontinued,Low-Profile MD2 PCIe AIC,"0, 1, 10, 5, 50",8,0,
99501,Intel® RAID Module RMSP3AD160F,Discontinued,Mezzanine Module,"0, 1, 10, 5, 50, 6, 60",16,0,4GB
99498,Intel® RAID Module RMSP3CD080F,Discontinued,Mezzanine Module,"0, 1, 10, 5, 50, 6, 60",8,0,4GB
99490,Intel® RAID Module RMSP3HD080E,Discontinued,Mezzanine Module,"0, 1, 10, 5, 50",8,0,
99492,Intel® Storage Adapter RSP3GD016J,Discontinued,Low-Profile MD2 PCIe AIC,JBOD Only,0,16,
99493,Intel® Storage Adapter RSP3QD160J,Discontinued,Low-Profile MD2 PCIe AIC,JBOD Only,16,0,
99495,Intel® Storage Module RMSP3JD160J,Discontinued,Mezzanine Module,JBOD Only,16,0,
