Product ID,Product Name,Launch Date,Logic Elements (LE),Digital Signal Processing (DSP) Blocks,Maximum Embedded Memory,Maximum User I/O Count†,Package Options
210298,Intel® Stratix® 10 MX 1650 FPGA,2017,1679000,3326,223.5 Mb,656,"F2597, F2912"
210297,Intel® Stratix® 10 MX 2100 FPGA,2017,2073000,3960,239.5 Mb,656,"F2597, F2912"
