source,managerCik,managerAddress,managerName,reportCalendarOrQuarter,cusip6,cusip,companyName,value,shares
https://sec.gov/Archives/edgar/data/1427514/0001427514-23-000005.txt,1427514,"PO BOX 1067, BROOKFIELD, WI, 53008-1067","Dana Investment Advisors, Inc.",2023-06-30,654106,654106103,NIKE INC,876307000.0,7940
https://sec.gov/Archives/edgar/data/1427514/0001427514-23-000005.txt,1427514,"PO BOX 1067, BROOKFIELD, WI, 53008-1067","Dana Investment Advisors, Inc.",2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,6562774000.0,25685
https://sec.gov/Archives/edgar/data/1428350/0001420506-23-001276.txt,1428350,"5885 Meadows Road, Suite 860, LAKE OSWEGO, OR, 97035","NORTHWEST INVESTMENT COUNSELORS, LLC",2023-06-30,31428X,31428X106,FEDEX CORP,296656000.0,1197
https://sec.gov/Archives/edgar/data/1428350/0001420506-23-001276.txt,1428350,"5885 Meadows Road, Suite 860, LAKE OSWEGO, OR, 97035","NORTHWEST INVESTMENT COUNSELORS, LLC",2023-06-30,654106,654106103,NIKE INC,3495495000.0,31671
https://sec.gov/Archives/edgar/data/1428350/0001420506-23-001276.txt,1428350,"5885 Meadows Road, Suite 860, LAKE OSWEGO, OR, 97035","NORTHWEST INVESTMENT COUNSELORS, LLC",2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,299202000.0,1171
https://sec.gov/Archives/edgar/data/1429390/0001178913-23-002448.txt,1429390,"HAREL HOUSE, 3 ABBA HILLEL ST., RAMAT GAN, L3, 52118",Harel Insurance Investments & Financial Services Ltd.,2023-06-30,31428X,31428X106,FEDEX CORP,23408000.0,94092
https://sec.gov/Archives/edgar/data/1429390/0001178913-23-002448.txt,1429390,"HAREL HOUSE, 3 ABBA HILLEL ST., RAMAT GAN, L3, 52118",Harel Insurance Investments & Financial Services Ltd.,2023-06-30,64110D,64110D104,NETAPP INC,1684000.0,22114
https://sec.gov/Archives/edgar/data/1429390/0001178913-23-002448.txt,1429390,"HAREL HOUSE, 3 ABBA HILLEL ST., RAMAT GAN, L3, 52118",Harel Insurance Investments & Financial Services Ltd.,2023-06-30,654106,654106103,NIKE INC,163000.0,1460
https://sec.gov/Archives/edgar/data/1429390/0001178913-23-002448.txt,1429390,"HAREL HOUSE, 3 ABBA HILLEL ST., RAMAT GAN, L3, 52118",Harel Insurance Investments & Financial Services Ltd.,2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,1694000.0,6682
https://sec.gov/Archives/edgar/data/1432539/0001432539-23-000004.txt,1432539,"114 BUSINESS PARK DRIVE, UTICA, NY, 13502","Strategic Financial Services, Inc,",2023-06-30,654106,654106103,NIKE INC,511375000.0,4662
https://sec.gov/Archives/edgar/data/1433541/0001172661-23-002548.txt,1433541,"50 California Street, Suite 2600, San Francisco, CA, 94111","ASPIRIANT, LLC",2023-06-30,31428X,31428X106,FEDEX CORP,732380000.0,2954
https://sec.gov/Archives/edgar/data/1433541/0001172661-23-002548.txt,1433541,"50 California Street, Suite 2600, San Francisco, CA, 94111","ASPIRIANT, LLC",2023-06-30,654106,654106103,NIKE INC,737273000.0,6680
https://sec.gov/Archives/edgar/data/1433541/0001172661-23-002548.txt,1433541,"50 California Street, Suite 2600, San Francisco, CA, 94111","ASPIRIANT, LLC",2023-06-30,697435,697435105,PALO ALTO NETWORKS INC,269052000.0,1053
https://sec.gov/Archives/edgar/data/1434323/0001434323-23-000003.txt,1434323,"100 SOUTH FIFTH STREET, SUITE 420, MINNEAPOLIS, MN, 55402","Palisade Asset Management, LLC",2023-06-30,31428X,31428X106,FedEx Corp,2415290000.0,9743
